                0       TOTAL        AMBER     CONTACTS          SOL           HB  | TEMPERATURE
Sim Anneal  21000  2.4737e+03   2.1225e+03   1.0808e+03   1.7093e+03  -2.4388e+03  | 160.000
Sim Anneal  22000  2.4752e+03   2.1088e+03   1.0838e+03   1.7210e+03  -2.4383e+03  | 120.000
Sim Anneal  23000  2.4687e+03   2.1279e+03   1.0631e+03   1.7150e+03  -2.4374e+03  | 80.000
Sim Anneal  24000  2.4645e+03   2.1329e+03   1.0535e+03   1.7157e+03  -2.4376e+03  | 40.000
Sim Anneal  25000  2.4120e+03   2.1225e+03   1.0230e+03   1.7051e+03  -2.4387e+03  |  0.000
ILSRR 2412.0470432747206 1868.4254456162357 
Sim Anneal      0  3.8782e+12   3.8782e+12   1.2979e+04   1.3959e+03  -2.7850e+03  | -1.000
Sim Anneal   1000  8.6652e+03   4.1787e+03   5.4548e+03   1.4989e+03  -2.4671e+03  | 960.000
Sim Anneal   2000  6.9647e+03   3.7153e+03   4.1277e+03   1.5987e+03  -2.4770e+03  | 920.000
Sim Anneal   3000  6.4223e+03   3.6027e+03   3.6438e+03   1.6709e+03  -2.4951e+03  | 880.000
Sim Anneal   4000  6.2658e+03   3.4290e+03   3.6413e+03   1.6727e+03  -2.4772e+03  | 840.000
Sim Anneal   5000  6.1412e+03   3.4219e+03   3.5330e+03   1.6696e+03  -2.4834e+03  | 800.000
Sim Anneal   6000  5.8583e+03   3.0783e+03   3.5866e+03   1.6680e+03  -2.4746e+03  | 760.000
Sim Anneal   7000  5.4875e+03   3.0656e+03   3.2136e+03   1.6887e+03  -2.4805e+03  | 720.000
Sim Anneal   8000  5.4584e+03   3.0184e+03   3.2267e+03   1.6890e+03  -2.4757e+03  | 680.000
Sim Anneal   9000  5.4432e+03   3.0067e+03   3.2224e+03   1.6875e+03  -2.4734e+03  | 640.000
Sim Anneal  10000  5.4081e+03   2.9491e+03   3.3533e+03   1.5847e+03  -2.4789e+03  | 600.000
Sim Anneal  11000  5.2987e+03   2.8878e+03   3.2593e+03   1.6155e+03  -2.4639e+03  | 560.000
Sim Anneal  12000  5.2434e+03   2.8182e+03   3.2697e+03   1.6258e+03  -2.4703e+03  | 520.000
Sim Anneal  13000  5.2434e+03   2.8182e+03   3.2697e+03   1.6258e+03  -2.4703e+03  | 480.000
Sim Anneal  14000  5.2344e+03   2.8188e+03   3.2608e+03   1.6239e+03  -2.4692e+03  | 440.000
Sim Anneal  15000  5.1655e+03   2.8151e+03   3.2021e+03   1.6233e+03  -2.4750e+03  | 400.000
Sim Anneal  16000  5.1364e+03   2.8021e+03   3.1843e+03   1.6244e+03  -2.4744e+03  | 360.000
Sim Anneal  17000  5.1405e+03   2.7995e+03   3.1892e+03   1.6238e+03  -2.4720e+03  | 320.000
Sim Anneal  18000  5.0986e+03   2.7329e+03   3.2273e+03   1.6027e+03  -2.4642e+03  | 280.000
Sim Anneal  19000  5.0986e+03   2.7329e+03   3.2273e+03   1.6027e+03  -2.4642e+03  | 240.000
Sim Anneal  20000  5.0969e+03   2.7375e+03   3.2226e+03   1.6020e+03  -2.4652e+03  | 200.000
Sim Anneal  21000  5.0931e+03   2.7335e+03   3.2228e+03   1.6017e+03  -2.4648e+03  | 160.000
Sim Anneal  22000  5.0677e+03   2.7097e+03   3.2012e+03   1.6202e+03  -2.4633e+03  | 120.000
Sim Anneal  23000  5.0642e+03   2.7104e+03   3.1972e+03   1.6205e+03  -2.4639e+03  | 80.000
Sim Anneal  24000  5.0638e+03   2.7208e+03   3.1900e+03   1.6160e+03  -2.4629e+03  | 40.000
Sim Anneal  25000  5.0454e+03   2.7423e+03   3.1436e+03   1.6270e+03  -2.4675e+03  |  0.000
ILSRR 5045.397151015282 1868.4254456162357 
Sim Anneal      0  8.4338e+07   8.4321e+07   1.8996e+04   7.9513e+02  -2.4994e+03  | -1.000
Sim Anneal   1000  6.5823e+03   3.1978e+03   4.5362e+03   1.2630e+03  -2.4148e+03  | 960.000
Sim Anneal   2000  5.8305e+03   3.2552e+03   3.6961e+03   1.3020e+03  -2.4227e+03  | 920.000
Sim Anneal   3000  5.2689e+03   3.0171e+03   3.3717e+03   1.3049e+03  -2.4248e+03  | 880.000
Sim Anneal   4000  5.1184e+03   2.9930e+03   3.2390e+03   1.3144e+03  -2.4280e+03  | 840.000
Sim Anneal   5000  5.0991e+03   2.9516e+03   3.2539e+03   1.3195e+03  -2.4259e+03  | 800.000
Sim Anneal   6000  4.7939e+03   2.8995e+03   3.0015e+03   1.3168e+03  -2.4239e+03  | 760.000
Sim Anneal   7000  4.6374e+03   2.8932e+03   2.8300e+03   1.3467e+03  -2.4325e+03  | 720.000
Sim Anneal   8000  4.4913e+03   2.8363e+03   2.7439e+03   1.3476e+03  -2.4365e+03  | 680.000
Sim Anneal   9000  4.3977e+03   2.7860e+03   2.6916e+03   1.3561e+03  -2.4360e+03  | 640.000
